home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Kings,Raptors,105,0.4773,0.3478,0.5652,6,25,27,10,5,15,114,0.4607,0.3056,0.5833,13,40,17,10,4,20,0,2018-11-07
Trail Blazers,Clippers,116,0.4124,0.3846,1.0,14,39,18,4,8,6,105,0.4607,0.3478,0.6522,7,34,19,2,10,7,1,2018-11-08
Suns,Celtics,109,0.4409,0.3143,0.4571,4,38,25,10,6,15,116,0.4021,0.3784,0.6486,17,39,21,6,6,16,0,2018-11-08
Warriors,Bucks,111,0.4828,0.3571,0.6071,8,30,31,5,6,18,134,0.5149,0.2571,0.6,13,33,33,11,7,12,0,2018-11-08
Thunder,Rockets,98,0.4444,0.2432,0.4595,13,39,18,10,4,14,80,0.37799999999999995,0.2619,0.1667,12,27,16,9,3,16,1,2018-11-08
Nuggets,Nets,110,0.4598,0.2778,1.3889,15,39,20,3,5,12,112,0.4091,0.3636,0.8485,12,30,21,7,9,8,0,2018-11-09
Heat,Pacers,102,0.45,0.5185,0.5926,9,29,27,6,6,23,110,0.5443,0.35,0.85,6,33,20,10,5,18,0,2018-11-09
Jazz,Celtics,123,0.5584,0.3824,0.7059,8,37,29,4,4,16,115,0.4432,0.3953,0.4651,5,23,31,11,3,8,1,2018-11-09
Kings,Timberwolves,121,0.4526,0.375,0.7188,12,37,25,7,6,12,110,0.4149,0.28,1.0,15,37,20,6,1,17,1,2018-11-09
Hawks,Pistons,109,0.4557,0.25,1.0714,9,44,17,6,2,16,124,0.4742,0.4255,0.2553,10,34,30,10,6,10,0,2018-11-09
76ers,Hornets,133,0.4787,0.3243,0.8378,13,46,33,3,15,16,132,0.3909,0.4,0.75,14,35,25,10,5,4,1,2018-11-09
Magic,Wizards,117,0.5116,0.4194,0.5161,10,31,26,8,6,15,108,0.5122,0.4074,0.4815,6,29,24,8,3,18,1,2018-11-09
