home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Suns,Bulls,113,0.5056,0.2593,0.5926,9,39,32,5,4,11,105,0.4158,0.3333,0.25,12,35,20,5,1,11,1,2017-11-08
Spurs,Thunder,104,0.4416,0.4,0.6286,12,32,23,6,7,13,101,0.4382,0.3913,0.6087,13,28,24,7,3,8,1,2017-11-08
Warriors,Thunder,112,0.4719,0.4474,0.2895,12,42,36,8,6,14,80,0.3295,0.2647,0.3824,14,29,19,8,3,15,1,2017-11-08
Knicks,Raptors,108,0.4624,0.3333,0.5833,13,34,29,8,7,11,100,0.4253,0.3684,0.3158,12,30,21,4,10,15,1,2017-11-08
Rockets,Spurs,109,0.4875,0.2955,0.4091,9,41,24,6,4,15,93,0.4074,0.3929,0.5714,7,29,20,5,2,13,1,2017-11-08
Kings,Mavericks,99,0.5244,0.2963,0.1852,7,25,23,11,3,16,106,0.494,0.3171,0.2683,9,27,28,8,0,13,0,2017-11-08
Celtics,Lakers,107,0.3878,0.2414,0.8276,16,32,20,8,6,13,96,0.4353,0.2083,0.7083,12,36,16,8,8,20,1,2017-11-08
Cavaliers,76ers,105,0.48,0.4828,0.6552,6,27,26,12,2,17,98,0.4744,0.3333,0.3939,7,32,31,10,2,19,1,2017-11-09
Wizards,Cavaliers,122,0.5357,0.3929,0.75,9,28,25,5,2,16,130,0.561,0.4444,0.963,8,26,20,11,4,14,0,2017-11-09
Bucks,Rockets,99,0.4578,0.3214,0.5,6,32,21,9,3,13,110,0.4756,0.35,0.45,12,35,22,9,5,16,0,2017-11-09
Suns,Bucks,107,0.3978,0.3182,1.1818,22,38,15,7,9,29,113,0.433,0.2759,0.7241,13,29,19,16,6,14,0,2017-11-09
Raptors,Spurs,86,0.4,0.3462,0.3462,9,41,16,8,1,13,83,0.3407,0.25,0.8,17,39,18,9,7,12,1,2017-11-09
